number_of_vehicles,sex_of_driver,urban_or_rural_area,light_conditions,road_type,vehicle_left_hand_drive,first_point_of_impact,age_band_of_driver,age_of_vehicle,driver_home_area_type,vehicle_manoeuvre,road_surface_conditions,age_of_driver,accident_sev_Serious,accident_sev_Slight
2,2.0,1,1,6,1.0,1,9.0,7.0,1.0,7.0,1,62.0,1,0
2,1.0,1,4,6,1.0,1,6.0,4.0,1.0,5.0,2,32.0,1,0
2,2.0,1,4,6,1.0,2,8.0,6.0,1.0,18.0,2,48.0,0,1
2,1.0,1,1,3,1.0,9,6.0,10.0,1.0,99.0,1,34.0,0,1
2,1.0,1,4,6,1.0,0,7.0,12.0,1.0,18.0,1,36.0,0,1
2,1.0,1,1,1,1.0,1,6.0,11.0,1.0,7.0,1,30.0,0,1
2,2.0,1,1,6,2.0,1,8.0,5.0,1.0,15.0,1,52.0,0,1
2,1.0,1,1,6,1.0,4,9.0,1.0,1.0,9.0,1,60.0,0,1
2,1.0,1,5,6,1.0,1,7.0,14.0,1.0,9.0,1,37.0,1,0
3,1.0,1,4,6,1.0,0,6.0,1.0,1.0,6.0,1,34.0,1,0
2,1.0,2,1,6,9.0,1,5.0,5.0,1.0,18.0,1,23.0,0,1
3,1.0,1,4,6,1.0,1,8.0,9.0,1.0,3.0,1,47.0,0,1
2,1.0,1,4,6,1.0,2,6.0,7.0,1.0,4.0,1,35.0,0,1
2,1.0,1,1,3,1.0,1,9.0,1.0,1.0,18.0,2,56.0,0,1
2,1.0,1,1,6,2.0,1,6.0,3.0,1.0,3.0,2,32.0,0,1
3,1.0,1,4,6,1.0,2,6.0,4.0,1.0,3.0,1,29.0,0,1
2,1.0,2,1,6,1.0,4,6.0,1.0,1.0,18.0,1,32.0,0,1
2,2.0,1,4,1,1.0,3,5.0,7.0,1.0,4.0,1,23.0,0,1
2,1.0,1,1,3,1.0,3,7.0,7.0,1.0,18.0,1,36.0,0,1
3,1.0,1,1,3,1.0,4,6.0,21.0,1.0,15.0,1,27.0,0,1
2,1.0,1,4,6,1.0,1,10.0,2.0,1.0,4.0,1,68.0,0,1
2,1.0,1,1,1,1.0,1,9.0,1.0,1.0,9.0,2,59.0,0,1
2,1.0,1,1,2,1.0,1,8.0,7.0,1.0,9.0,1,55.0,0,1
4,1.0,1,4,3,1.0,2,9.0,7.0,1.0,18.0,1,59.0,0,1
2,1.0,1,4,9,1.0,9,5.0,6.0,1.0,99.0,1,25.0,0,1
4,2.0,1,1,6,1.0,3,6.0,10.0,1.0,18.0,1,35.0,0,1
2,1.0,1,4,2,9.0,9,7.0,3.0,1.0,99.0,1,44.0,0,1
2,1.0,1,1,3,1.0,3,6.0,2.0,1.0,18.0,1,35.0,0,1
2,1.0,1,4,3,1.0,1,8.0,4.0,1.0,3.0,1,47.0,0,1
2,1.0,1,1,6,1.0,4,9.0,12.0,1.0,99.0,1,61.0,0,1
2,1.0,1,4,6,1.0,1,6.0,9.0,1.0,18.0,1,27.0,0,1
2,1.0,1,4,3,9.0,9,8.0,2.0,1.0,99.0,1,47.0,0,1
2,1.0,1,1,6,1.0,1,7.0,1.0,1.0,18.0,1,42.0,0,1
2,2.0,1,1,6,9.0,1,7.0,8.0,1.0,99.0,1,38.0,0,1
